species,trophic_level,Lmax,K,tm,habitat_dummy,site,mu,lower95,upper95,nutrient
Parupeneus trifasciatus,0.302399481,-0.429571714,0.175815563,-1.587084606,0,M1,0.148532584,0.110210711,0.196472943,omega3
Aethaloperca rogaa,1.002399481,0.109424786,-0.544730592,0.112915394,0,M1,0.164566864,0.117952014,0.220771369,omega3
Epinephelus tukula,1.002399481,1.313397591,-0.870152993,1.212915394,0,M1,0.149957542,0.102347717,0.213506093,omega3
Cheilinus trilobatus,0.702399481,-0.178257286,-0.490663371,0.112915394,0,M1,0.163179349,0.121106561,0.218444283,omega3
Lutjanus fulviflamma,0.602399481,-0.429571714,1.06470732,-2.587084606,0,M1,0.146837736,0.104752395,0.199189439,omega3
Lethrinus obsoletus,0.702399481,0.109424786,0.20248381,-1.587084606,0,M1,0.146742342,0.109805164,0.197660783,omega3
Parupeneus cyclostomus,1.002399481,-0.072896771,-0.139265484,-0.987084606,0,M1,0.160401764,0.117613422,0.216548804,omega3
Anyperodon leucogrammicus,0.702399481,0.189467494,-0.601889006,0.312915394,0,M1,0.15778235,0.114783825,0.20945128,omega3
Halichoeres scapularis,0.302399481,-0.989187502,0.692032035,-2.287084606,0,M1,0.153330726,0.109508504,0.206575285,omega3
Plectorhinchus schotaf,0.432399481,0.397106859,-0.79604502,1.012915394,0,M1,0.152941711,0.112117816,0.20504992,omega3
Lutjanus argentimaculatus,0.402399481,1.025715518,-0.490663371,-0.287084606,0,M1,0.135015018,0.09698274,0.183105398,omega3
Epinephelus spilotoceps,0.692399481,-0.429571714,-0.033904968,-1.087084606,0,M1,0.159811359,0.120070992,0.21535574,omega3
Macolor niger,0.802399481,0.332568338,-0.439370076,-0.287084606,0,M1,0.15368637,0.112837912,0.205938219,omega3
Parupeneus rubescens,0.302399481,-0.22371966,-0.001115146,-1.287084606,0,M1,0.14698064,0.109900626,0.193825474,omega3
